Academy Name,Language Code,Language Name,Native Name,Level,Lesson Number,Lesson ID,Lesson Title,Story Status,Dialogue Status,Grammar Status,Conjugation Status,Vocabulary Count,Expressions Count,Arabic Meaning Status,Download Path
"Polyglot Academy","FR","French","Français","A1",1,"FR-A1-001","Lesson 1: Introductions vs Greetings","Generated","Generated","Generated","Generated",16,5,"Generated","/downloads/FR/A1/FR-A1-001.json"
"Polyglot Academy","FR","French","Français","A1",2,"FR-A1-002","Lesson 2: Alphabet & Sounds (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-002.json"
"Polyglot Academy","FR","French","Français","A1",3,"FR-A1-003","Lesson 3: Basic Greetings (Part 1)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-003.json"
"Polyglot Academy","FR","French","Français","A1",4,"FR-A1-004","Lesson 4: Basic Greetings (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-004.json"
"Polyglot Academy","FR","French","Français","A1",5,"FR-A1-005","Lesson 5: Personal Information (Part 1)","Pending","Pending","Pending","Pending",15,5,"Pending","/downloads/FR/A1/FR-A1-005.json"
"Polyglot Academy","FR","French","Français","A1",6,"FR-A1-006","Lesson 6: Personal Information (Part 2)","Pending","Pending","Pending","Pending",22,5,"Pending","/downloads/FR/A1/FR-A1-006.json"
"Polyglot Academy","FR","French","Français","A1",7,"FR-A1-007","Lesson 7: Numbers 1-100 (Part 1)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-007.json"
"Polyglot Academy","FR","French","Français","A1",8,"FR-A1-008","Lesson 8: Numbers 1-100 (Part 2)","Pending","Pending","Pending","Pending",17,5,"Pending","/downloads/FR/A1/FR-A1-008.json"
"Polyglot Academy","FR","French","Français","A1",9,"FR-A1-009","Lesson 9: Days & Months (Part 1)","Pending","Pending","Pending","Pending",21,5,"Pending","/downloads/FR/A1/FR-A1-009.json"
"Polyglot Academy","FR","French","Français","A1",10,"FR-A1-010","Lesson 10: Days & Months (Part 2)","Pending","Pending","Pending","Pending",20,5,"Pending","/downloads/FR/A1/FR-A1-010.json"
